date,AAPL,AMD,AMZN,AVGO,BA,BAC,CAT,COST,CVX,DE,DIS,EEM,EFA,F,GLD,GM,GOOGL,GS,HD,HYG,IEF,INTC,IWD,IWF,IWM,JNJ,JPM,KHC,KO,LIN,LLY,LMT,LQD,MA,META,MSFT,MTUM,NEE,NKE,NVDA,PEP,PFE,PG,QQQ,QUAL,SBUX,SPY,T,TLT,TSLA,UNH,USMV,USO,UUP,V,VNQ,VZ,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XOM
2019-12-31,100805600,31673200,50130000,12487000,4958800,29630100,1952500,1550700,4215700,748200,5662900,47292800,20142100,32342100,5313500,5160200,19514000,1447200,3789900,8310800,2801600,14432900,2248600,5300800,17362400,4435000,7201600,6069400,7982600,1040000,1549800,775400,5499400,2478600,8953500,18369400,541200,6910000,3213600,231004000,3229400,15175703,4798900,18170900,567100,4115600,57077300,26766646,10707400,154285500,2224200,2498200,1450663,505200,5273000,4649500,8466700,5390000,2049700,21444800,15788100,6458200,11601800,4985400,3675000,21616800,4746700,3567400,13151800
2020-01-02,135480400,80331100,80580000,20329000,4544400,37614200,3311900,2103600,5205000,1591100,9502100,78570100,24749300,43425700,7733800,7454400,27278000,3736300,3935700,15756600,4022300,18056000,2242200,6706400,18297500,5777000,10803700,6008700,11867700,2604100,2204200,1258400,15348700,3272400,12077100,22622100,777600,7884800,5644100,237536000,3784100,16514072,8130800,30969400,1885300,6473800,59151200,43165445,11034100,142981500,2543400,4728600,1563638,556500,8733000,5106600,11447900,14714800,6379500,23889400,28843300,16121300,26567000,14460700,4380100,38215400,6277400,12591000,12456400
2020-01-03,146322800,73127400,75288000,22870000,3875900,50357900,3100600,1926000,6360900,1301100,7320200,78998200,29921500,45040800,12272800,9173000,23408000,2274500,3423200,17342200,3839600,15293900,1898800,8160400,19295600,5752400,10386800,5012700,11354500,2899300,1963500,2990100,10110900,2501300,11188400,21116200,661700,7097200,4541800,205384000,4000100,14922848,7970500,27518900,826800,4874100,77709700,36296666,12366000,266677500,2711400,3191200,4325450,663500,4899700,5015500,13263200,24846400,2351400,59005800,51363600,17571300,30023600,26388900,3499000,35978600,8247500,11192800,17386900
2020-01-06,118387200,47934900,81236000,20789000,5355000,42185000,2549600,2655100,9953000,1234200,8262500,40085300,22636400,43372300,14403300,8408200,46768000,3329300,5682800,17936900,2714300,17755200,2751500,9838800,17150900,7731300,10259000,4714700,14698300,2395300,2102900,2477800,13894300,3307200,17058900,20813700,637500,5518800,4612400,262636000,4085100,15771951,6674400,21655300,767600,5409800,55653900,51229797,11369800,151995000,3079100,2627500,2598413,308800,10109500,4889000,15094500,31528800,2535900,44916200,27956100,16153100,15630000,22541700,3097200,20889000,6441800,12823200,20081900
2020-01-07,108872000,58061400,80898000,18565000,9898600,34149000,2841900,1963400,7856900,1234200,6906500,65705300,15107500,44984100,7978500,17556800,34330000,5255200,5685400,9640300,2038800,21876100,1617200,5344800,11817900,7382900,10531300,7165700,9973900,2589200,2448300,1059900,8211700,3182000,14912400,21634100,480100,6653200,6719900,314856000,5718100,20108107,7583400,22139300,3601600,6514700,40496400,37337462,8381200,268231500,2492900,3676600,1742075,145100,4392300,6529100,14293100,40533800,2642800,22925000,39627500,16675400,15363600,15607600,3550600,26140600,6335300,18301600,17387700
2020-01-08,132079200,53767000,70160000,31979000,8239200,45311600,2153200,2492800,7295900,1713900,6984200,86913300,14249500,45994900,22248500,13229400,35314000,3564700,4916200,16088100,5081100,23133500,1803500,6499600,13832400,6605800,9695300,5802900,10676000,1327300,5188600,1708100,12268500,3224400,13475000,27746500,737400,5936000,4942200,277108000,3681400,16403507,5385100,26397300,701900,7296300,68296000,53645832,10621700,467164500,3379200,3759200,6918425,685600,5712000,6766100,15926500,16159200,4161200,38042800,47966600,10677700,23254400,11451400,5089000,25482800,7494700,9451800,15137700
2020-01-09,170108400,76512800,63346000,42397000,8175600,39861600,2272500,3261200,7345300,1459100,6664200,53199900,13749100,51817400,10292300,9610400,33200000,3980700,4843600,16649500,3680600,18813300,1674000,5069200,11895400,6112700,9469000,8938400,15398000,1086100,4522800,1064300,14415100,3292600,12642800,21385000,1265800,6958000,5007500,255112000,3954700,21971895,5944000,23547000,1218200,9443500,48473300,52228887,7411500,426606000,2838200,4662600,3439450,167000,6748000,4213800,20134600,7572400,2297100,30733600,27705300,7407200,15554800,6854500,2885000,23286200,6660600,7643000,14811800
2020-01-10,140644800,44133700,57074000,40705000,7161700,39730400,2393700,2024200,6393800,2560900,5152500,67573300,33832300,39796300,6183300,9644900,26258000,2248100,4226600,16182900,2600000,15200600,2227900,8232000,15353000,5042600,10190900,4578200,13040100,1217600,4177600,987800,8263500,2948000,12119400,20725900,600500,5125600,5135300,316296000,3099500,21557357,3927100,21898500,676700,7097900,53029300,39350339,8776000,194392500,2477900,3603200,2016750,211800,6586400,5838800,11786700,11274800,1941800,18302400,33458200,8856800,15330600,7410800,6513200,21165800,9300300,7407000,11995600
2020-01-13,121532000,34266800,55616000,22054000,5648500,37956100,3355200,1778600,6846700,1300900,9921300,79593800,16443000,48553700,7593800,7465700,30730000,3359200,6060900,17762400,2672600,16453300,2738900,7218800,17271100,4593200,12355200,4269100,14302900,1225700,5117100,986800,4477400,3236400,14463400,21626500,483400,5879600,6722400,319840000,5127200,15392405,8409200,22756900,718700,7382500,47086800,43780576,5966900,397764000,6994900,3232700,2858525,217000,11290500,5552600,14158400,8818600,2854000,17557000,27542700,7893800,15524400,9625700,2988100,25342200,7621700,6449200,9953900
2020-01-14,161954400,38563200,68818000,28911000,6945300,66719300,2742200,1459900,7189100,1039800,14839100,75746900,28826600,42935600,6589700,6827100,26076000,4302800,3915100,29157100,2376300,17051200,1493400,5352400,18323000,7037500,24906000,6794100,16345300,2107300,4685200,967200,11066300,4951400,13288900,23477400,658000,8252800,5088500,359088000,4159700,20919160,7829700,24418100,1070900,5855200,62832800,35129295,13920300,434943000,6056300,4652900,2336713,589900,6236500,4120700,12697100,11010200,2909600,34678000,37575400,9649400,16134600,7512300,3720200,22990000,7294900,8681200,16261000
